entity_id,canonical_name,description,aliases_json,aliases_text,domains_json,roles_json,is_turkiye_related
Q1007545,Galatasaray Lyceum,"Galatasaray High School (Turkish: Galatasaray Lisesi, French: Lycée de Galatasaray) is a high school in Turkey. Established in 1481, it is the oldest high school in Turkey and the second-oldest Turkish educational institution after Istanbul University, which was established in 1453. Being an Anatolian High School, access to the school is open to students with a high Nationwide High School Entrance score. Education consists of a blend of Turkish and French curricula and is provided in both languages.The association football club Galatasaray S.K. was formed by and named after the institution. The footballers consisted entirely of students of the school during the club's formative years. Galatasaray High School is the progenitor of Galatasaray Community, which includes the football club, its parent Galatasaray Sports Club, and Galatasaray University.The name Galatasaray means Galata Palace, as the school is located near Galata, the medieval Genoese citadel at the north of the Golden Horn, in the district of Beyoğlu which includes the Galata quarter.","[""Galatasaray Lyceum"", ""lycée de galatasaray"", ""Lycée de Galatasaray"", ""mekteb-i sultani"", ""Galatasaray Lycee"", ""galatasaray college"", ""galatasaray mekteb-i sultanisi"", ""Galatasaray High School"", ""Galatasaray Lisesi"", ""mekteb i sultani""]",Galatasaray Lyceum | lycée de galatasaray | Lycée de Galatasaray | mekteb-i sultani | Galatasaray Lycee | galatasaray college | galatasaray mekteb-i sultanisi | Galatasaray High School | Galatasaray Lisesi | mekteb i sultani,"[""cinema"", ""education"", ""turkiye""]","[""education_entity""]",true
Q1010949,Yesilköy,"Yeşilköy (Turkish pronunciation: [jeˈʃilcœj]; prior to 1926, San Stefano or Santo Stefano from the Greek: Άγιος Στέφανος pronounced Ayos Stefanos, rendered in Turkish as Ayastefanos, Bulgarian: Сан Стефано) is a neighbourhood (Turkish: mahalle) in the district of Bakırköy, Istanbul, Turkey, on the Marmara Sea about 11 kilometres (7 mi) west of Istanbul's historic city centre. Before the rapid increase of Istanbul's population in the 1970s, Yeşilköy was merely a village and a sea resort.","[""Yesilköy"", ""yesilkoy"", ""yeşilköy"", ""Yesilkoy"", ""yeşilköy, bakırköy"", ""san stefano"", ""Yeşilköy, Bakırköy"", ""Yeşilköy"", ""Ayastefanos"", ""ayastefanos""]","Yesilköy | yesilkoy | yeşilköy | Yesilkoy | yeşilköy, bakırköy | san stefano | Yeşilköy, Bakırköy | Yeşilköy | Ayastefanos | ayastefanos","[""cinema"", ""turkiye""]","[""birth_place""]",true
Q1021818,Bay of Adramyttium,"Edremit is a district in Balıkesir Province, Turkey, as well as the central city of that district, on the west coast of Turkey, not far from the Greek island of Lesbos.It is situated at the tip of the gulf with the same name (Gulf of Edremit), with its town centre a few kilometres inland, and is an important centre of trade, along with the other towns that are situated on the same gulf (namely Ayvalık, Gömeç, Burhaniye and Havran). It is also one of the largest district centres of Balıkesir Province. The district of Edremit, especially around Kazdağı, is largely covered with forests.","[""Bay of Adramyttium"", ""Edremit, Balıkesir"", ""edremit, balıkesir"", ""Edremit (District), Balikesir"", ""edremit, balikesir"", ""Edremit (District), Balıkesir"", ""edremit (district), balikesir"", ""bay of adramyttium"", ""Ἀδραμύττειον"", ""EDREN""]","Bay of Adramyttium | Edremit, Balıkesir | edremit, balıkesir | Edremit (District), Balikesir | edremit, balikesir | Edremit (District), Balıkesir | edremit (district), balikesir | bay of adramyttium | Ἀδραμύττειον | EDREN","[""cinema"", ""turkiye""]","[""birth_place""]",true
Q1021893,busra pekin,Büşra Pekin (born 30 June 1982) is a Turkish actress. She has appeared in more than fifteen films since 2004.,"[""busra pekin"", ""büşra pekin"", ""Busra Pekin"", ""Büşra Pekin""]",busra pekin | büşra pekin | Busra Pekin | Büşra Pekin,"[""cinema"", ""people"", ""turkiye""]","[""cast_member""]",true
Q1022149,Kandira,"Kandıra is a town and district of Kocaeli Province in the Marmara region of Turkey. Its neighbours are Kaynarca to the east, Adapazarı to the southeast, İzmit to the south and Şile to the west.","[""Kandira"", ""thynias"", ""Daphnusia"", ""kandira"", ""Kandıra"", ""daphnusia"", ""kandıra"", ""Thynias""]",Kandira | thynias | Daphnusia | kandira | Kandıra | daphnusia | kandıra | Thynias,"[""cinema"", ""turkiye""]","[""birth_place""]",true
Q1028,marocko,"Morocco ( (listen); Arabic: المغرب‎, romanized: al-maġhrib, lit. 'place the sun sets; the west'; Standard Moroccan Tamazight: ⵍⵎⵖⵔⵉⴱ, romanized: Lmeɣrib; French: Maroc), officially the Kingdom of Morocco (Arabic: المملكة المغربية‎, romanized: al-Mamlakah al-Maghribiyah, lit. 'The Western Kingdom'; Standard Moroccan Tamazight: ⵜⴰⴳⵍⴷⵉⵜ ⵏ ⵍⵎⵖⵔⵉⴱ, romanized: Tageldit n Lmaɣrib; French: Royaume du Maroc), is a sovereign state located in the Maghreb region of North Africa.  It overlooks the Mediterranean Sea to the north and the Atlantic Ocean to the west. Morocco claims the areas of Ceuta, Melilla and Peñón de Vélez de la Gomera, all of them under Spanish jurisdiction. The capital is Rabat and the largest city Casablanca. Morocco spans an area of 710,850 km2 (274,460 sq mi) and has a population of over 35 million.Since the foundation of the first Moroccan state by Idris I in 788 AD, the country has been ruled by a series of independent dynasties, reaching its zenith under Almoravid and Almohad rule, when it spanned parts of Iberia and northwestern Africa. The Marinid and Saadi dynasties resisted foreign domination into the 17th century, allowing Morocco to remain the only northwest African country to avoid Ottoman occupation. The Alaouite dynasty, which rules to this day, seized power in 1631. The country's strategic location near the mouth of the Mediterranean attracted Europeans interest, and in 1912, Morocco was divided into French and Spanish protectorates, with an international zone in Tangier. It regained its independence in 1956, and has since remained comparatively stable and prosperous by regional standards, with the fifth largest economy in Africa.Morocco claims the non-self-governing territory of Western Sahara, formerly Spanish Sahara, as its Southern Provinces. After Spain agreed to decolonise the territory to Morocco and Mauritania in 1975, a guerrilla war arose with local forces. Mauritania relinquished its claim in 1979, and the war lasted until a ceasefire in 1991. Morocco currently occupies two thirds of the territory, and peace processes have thus far failed to break the political deadlock.Morocco is a unitary constitutional monarchy with an elected parliament. The country wields significant influence in both Africa and the Arab world, and  is considered a regional power and a middle power. The King of Morocco holds vast executive and legislative powers, especially over the military, foreign policy and religious affairs. Executive power is exercised by the government, while legislative power is vested in both the government and the two chambers of parliament, the Assembly of Representatives and the Assembly of Councillors. The king can issue decrees called dahirs, which have the force of law. He can also dissolve the parliament after consulting the Prime Minister and the president of the constitutional court.Morocco's predominant religion is Islam, and its official languages are Arabic and Berber, the latter achieving official recognition in 2011, having been the native language of Morocco before the Muslim conquest in the seventh century C.E. The Moroccan dialect of Arabic, referred to as Darija, and French are also widely spoken. Moroccan culture is a blend of Berber, Arab, Sephardi Jews, West African and European influences.Morocco is a member of the Arab League, the Union for the Mediterranean and the African Union.","[""marocko"", ""Maroc"", ""al-maġrib"", ""ma"", ""moraco"", ""Sherifian Empire"", ""Lmaġrib"", ""maroc"", ""🇲🇦"", ""ISO 3166-1:MA""]",marocko | Maroc | al-maġrib | ma | moraco | Sherifian Empire | Lmaġrib | maroc | 🇲🇦 | ISO 3166-1:MA,"[""cinema"", ""geography"", ""turkiye""]","[""country""]",true
Q1033641,Cansel Elcin,"Cansel Elçin (born September 20, 1973) is a Turkish actor.","[""Cansel Elcin"", ""cansel elcin"", ""cansel elçin"", ""Cansel Elçin""]",Cansel Elcin | cansel elcin | cansel elçin | Cansel Elçin,"[""cinema"", ""people"", ""turkiye""]","[""cast_member""]",true
Q1033926,arabesk (film),Arabesk is a 1989 Turkish comedy film directed by Ertem Eğilmez. The film was Eğilmez's last before his death and caused controversy in Turkey for its attacks on Turkish pseudo-intellectuals.,"[""arabesk (film)"", ""Arabesk (film)""]",arabesk (film) | Arabesk (film),"[""cinema"", ""film"", ""turkiye""]","[""film""]",true
Q107401,sebastea (see),"Sivas (Latin and Greek: Sebastia, Sebastea, Sebasteia, Sebaste, Σεβάστεια, Σεβαστή; Armenian: Սեբաստիա) is a city in central Turkey and the seat of Sivas Province.The city, which lies at an elevation of 1,278 metres (4,193 ft) in the broad valley of the Kızılırmak river, is a moderately-sized trade center and industrial city, although the economy has traditionally been based on agriculture. Rail repair shops and a thriving manufacturing industry of rugs, bricks, cement, and cotton and woolen textiles form the mainstays of the city's economy. The surrounding region is a cereal-producing area with large deposits of iron ore which are worked at Divriği.Sivas is also a communications hub for the north-south and east-west trade routes to Iraq and Iran, respectively. With the development of railways, the city gained new economic importance as junction of important rail lines linking the cities of Ankara, Kayseri, Samsun, and Erzurum. The city is linked by air to Istanbul. The popular name Sebastian derives from Sebastianòs, Σεβαστιανός, meaning someone from the city.","[""sebastea (see)"", ""sīwās"", ""Sivas, Turkey"", ""Sevasteia"", ""sebastia (see)"", ""sivas, turkey"", ""sevasteia"", ""sepastia"", ""Sewas"", ""Sivas""]","sebastea (see) | sīwās | Sivas, Turkey | Sevasteia | sebastia (see) | sivas, turkey | sevasteia | sepastia | Sewas | Sivas","[""cinema"", ""turkiye""]","[""birth_place""]",true
Q11170397,nubar terziyan,"Nubar Terziyan (Armenian: Նուպար Թերզյան) (born Nubar Alyanak 16 March 1909 – January 14, 1994) was a Turkish Armenian actor.","[""nubar terziyan"", ""Nubar Terziyan""]",nubar terziyan | Nubar Terziyan,"[""cinema"", ""people"", ""turkiye""]","[""cast_member""]",true
