source_id,pid,relation_label,target_id
Q4390382,P19,place of birth,Q6407315
Q78168,P27,country of citizenship,Q43
Q17277912,P57,director,Q4815792
Q131293,P17,country,Q43
Q18712839,P495,country of origin,Q43
Q18753224,P57,director,Q2237841
Q83965,P17,country,Q43
Q3446835,P19,place of birth,Q199723
Q284051,P166,award received,Q616568
Q180280,P27,country of citizenship,Q43
Q724172,P27,country of citizenship,Q43
Q12810813,P19,place of birth,Q406
Q6033250,P19,place of birth,Q719537
Q962106,P27,country of citizenship,Q43
Q3459778,P161,cast member,Q3337865
Q6083691,P161,cast member,Q1925634
Q4831964,P19,place of birth,Q1010949
Q12812387,P19,place of birth,Q35997
Q7116454,P27,country of citizenship,Q43
Q6085441,P161,cast member,Q735585
Q573156,P161,cast member,Q1382418
Q3811192,P69,educated at,Q865528
Q42099,P17,country,Q884
Q7817189,P27,country of citizenship,Q145
Q2090,P17,country,Q183
Q25999900,P161,cast member,Q4727547
Q257669,P161,cast member,Q4696189
Q6081761,P161,cast member,Q5936459
Q720344,P27,country of citizenship,Q43
Q17512617,P161,cast member,Q463473
Q18753224,P161,cast member,Q5626880
Q7750585,P495,country of origin,Q43
Q18712832,P495,country of origin,Q43
Q16736826,P161,cast member,Q6093408
Q1348747,P27,country of citizenship,Q43
Q5098492,P57,director,Q2827768
Q6099913,P27,country of citizenship,Q43
Q5437360,P161,cast member,Q5377630
Q6091112,P495,country of origin,Q43
Q19600502,P495,country of origin,Q43
Q4832684,P27,country of citizenship,Q43
Q1284001,P27,country of citizenship,Q43
Q3306251,P19,place of birth,Q3640
Q18713080,P57,director,Q2237841
Q6094318,P161,cast member,Q343040
Q374415,P27,country of citizenship,Q43
Q6084089,P19,place of birth,Q406
Q6086955,P19,place of birth,Q174341
Q716602,P27,country of citizenship,Q30
Q447576,P19,place of birth,Q3640
Q468418,P27,country of citizenship,Q43
Q616568,P17,country,Q801
Q184539,P17,country,Q43
Q97604,P19,place of birth,Q3764
Q12810617,P161,cast member,Q1382418
Q6079841,P161,cast member,Q7398100
Q6094839,P161,cast member,Q6097675
Q4807991,P161,cast member,Q3126013
Q27957840,P161,cast member,Q5641421
Q47117,P17,country,Q43
Q3561666,P57,director,Q1685054
Q6084541,P161,cast member,Q4831964
Q6094318,P57,director,Q374415
Q55460,P19,place of birth,Q406
Q5377630,P19,place of birth,Q650569
Q130553,P17,country,Q43
Q1452569,P19,place of birth,Q184116
Q97241,P27,country of citizenship,Q43
Q505264,P19,place of birth,Q155915
Q6083314,P161,cast member,Q11170397
Q307737,P27,country of citizenship,Q43
Q962106,P19,place of birth,Q406
Q17,P17,country,Q17
Q844804,P17,country,Q142
Q832180,P161,cast member,Q5377630
Q494719,P495,country of origin,Q43
Q2288769,P19,place of birth,Q803679
Q3176600,P166,award received,Q7241424
Q982389,P19,place of birth,Q168197
Q151729,P27,country of citizenship,Q43
Q26702984,P19,place of birth,Q35997
Q6061219,P495,country of origin,Q43
Q17432108,P19,place of birth,Q406
Q794,P17,country,Q794
Q6090129,P19,place of birth,Q129649
Q188894,P17,country,Q43
Q6066254,P161,cast member,Q5626880
Q8078990,P19,place of birth,Q35997
Q1685054,P27,country of citizenship,Q142
Q3472837,P161,cast member,Q307835
Q858026,P69,educated at,Q192964
Q7667107,P19,place of birth,Q406
Q25999897,P495,country of origin,Q43
Q6079841,P57,director,Q936089
Q3054263,P19,place of birth,Q35997
Q6094757,P161,cast member,Q531443
Q3126013,P19,place of birth,Q326339
Q18713113,P161,cast member,Q792949
Q6407788,P57,director,Q6051778
Q3624103,P19,place of birth,Q406
Q5352355,P495,country of origin,Q43
Q18713110,P495,country of origin,Q43
Q20986937,P27,country of citizenship,Q298
Q4390382,P27,country of citizenship,Q17
Q327852,P495,country of origin,Q43
Q187261,P19,place of birth,Q171031
Q20002628,P161,cast member,Q6101497
Q1373349,P27,country of citizenship,Q43
Q724172,P166,award received,Q179808
Q17512617,P161,cast member,Q463514
Q17512617,P161,cast member,Q465998
Q567579,P57,director,Q567269
Q2827768,P19,place of birth,Q11194
Q27957837,P57,director,Q2237841
Q5936459,P19,place of birth,Q173474
Q17512617,P161,cast member,Q58603
Q7116454,P19,place of birth,Q2090
Q3574282,P166,award received,Q7241424
Q12809142,P161,cast member,Q12811020
Q277184,P161,cast member,Q343040
Q6088017,P19,place of birth,Q209905
Q6074177,P495,country of origin,Q43
Q19473346,P161,cast member,Q1264350
